mac:ac3c.0b8a.891b----info{'IP': '172.17.10.103', 'product': 'Vlan220', 'time': '2015-02-04'}
mac:5c50.150f.3142----info{'IP': '172.17.1.10', 'product': 'Vlan218', 'time': '2015-02-04'}
mac:90b1.1c7a.0c03----info{'IP': '172.17.105.58', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:3417.ebd1.232d----info{'IP': '172.17.104.62', 'product': 'Vlan210', 'time': '2015-02-04'}
mac:3417.ebd0.be02----info{'IP': '172.17.102.78', 'product': 'Vlan214', 'time': '2015-02-04'}
mac:b8ca.3aa9.ac46----info{'IP': '172.17.101.123', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:1803.7331.054e----info{'IP': '172.17.105.134', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:3417.eba1.da0b----info{'IP': '172.17.101.41', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:0025.64bb.8983----info{'IP': '172.17.111.58', 'product': 'Vlan226', 'time': '2015-02-04'}
mac:1803.7331.3223----info{'IP': '172.17.53.53', 'product': 'Vlan209', 'time': '2015-02-04'}
mac:b8ca.3aa9.ad3e----info{'IP': '172.17.110.96', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:f01f.af4c.81eb----info{'IP': '172.17.107.50', 'product': 'Vlan222', 'time': '2015-02-04'}
mac:b8ca.3a97.5fc2----info{'IP': '172.17.101.26', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:90b1.1c95.231a----info{'IP': '172.17.101.188', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:3417.ebd0.c003----info{'IP': '172.17.103.204', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:0025.64bb.8a0b----info{'IP': '172.17.101.139', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:000c.29b1.825e----info{'IP': '172.17.101.48', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:f8b1.569f.407d----info{'IP': '172.17.110.110', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:b8ca.3a90.f679----info{'IP': '172.17.3.64', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:28d2.444d.152a----info{'IP': '172.17.111.60', 'product': 'Vlan226', 'time': '2015-02-04'}
mac:40a8.f0b5.943f----info{'IP': '172.17.3.15', 'product': 'Vlan216', 'time': '2015-02-04'}
mac:000c.2907.4239----info{'IP': '172.17.101.12', 'product': 'Vlan211', 'time': '2015-02-04'}
