mac:001e.799a.12c1----info['172.17.1.3', '2015-02-10', 'Vlan218', 'null']
mac:6003.0899.8fd2----info['172.17.10.96', '2015-02-10', 'Vlan220', 'null']
mac:3417.ebd0.c19b----info['172.17.101.159', '2015-02-10', 'Vlan211', 'agcn1-wkeng295']
mac:4874.6e7e.d904----info['172.17.103.210', '2015-02-10', 'Vlan212', 'null']
mac:b8ac.6f2e.8b32----info['172.17.101.134', '2015-02-10', 'Vlan211', 'agcn1-wkeng113']
mac:000c.29b1.eaaa----info['172.17.111.12', '2015-02-10', 'Vlan226', 'null']
mac:bc30.5ba7.d88c----info['172.17.110.114', '2015-02-10', 'Vlan225', 'agcn1-wkeng139']
mac:b8ca.3a7f.7dc4----info['172.17.105.185', '2015-02-10', 'Vlan215', 'agcn1-wkeng184']
mac:3417.ebd1.3237----info['172.17.108.92', '2015-02-10', 'Vlan223', 'agcn1-wkeng300']
mac:000c.29e0.06c9----info['172.17.101.5', '2015-02-10', 'Vlan211', 'null']
mac:0024.e89a.6417----info['172.17.51.77', '2015-02-10', 'Vlan206', 'null']
mac:3417.ebd0.be0c----info['172.17.104.60', '2015-02-10', 'Vlan210', 'agcn1-wkeng307']
mac:d4be.d913.31a0----info['172.17.10.111', '2015-02-10', 'Vlan220', 'null']
mac:bc30.5ba7.d7b2----info['172.17.103.197', '2015-02-10', 'Vlan212', 'agcn1-wkeng133']
mac:ac3c.0b8a.891b----info['172.17.10.103', '2015-02-10', 'Vlan220', 'null']
mac:5c50.150f.3142----info['172.17.1.10', '2015-02-10', 'Vlan218', 'null']
mac:90b1.1c7a.0c03----info['172.17.105.58', '2015-02-10', 'Vlan215', 'agcn1-wkeng154']
mac:3417.ebd1.232d----info['172.17.104.62', '2015-02-10', 'Vlan210', 'agcn1-wkeng311']
mac:3417.ebd0.be02----info['172.17.102.78', '2015-02-10', 'Vlan214', 'agcn1-wkeng301']
mac:b8ca.3aa9.ac46----info['172.17.101.123', '2015-02-10', 'Vlan211', 'agcn1-wkeng218']
mac:1803.7331.054e----info['172.17.105.134', '2015-02-10', 'Vlan215', 'agcn1-wkeng145']
mac:3417.eba1.da0b----info['172.17.101.41', '2015-02-10', 'Vlan211', 'null']
mac:0025.64bb.8983----info['172.17.111.58', '2015-02-10', 'Vlan226', 'agcn1-wkeng114']
mac:1803.7331.3223----info['172.17.53.53', '2015-02-10', 'Vlan209', 'agcn1-wkeng142']
mac:b8ca.3aa9.ad3e----info['172.17.110.96', '2015-02-10', 'Vlan225', 'agcn1-wkeng220']
mac:f01f.af4c.81eb----info['172.17.107.50', '2015-02-10', 'Vlan222', 'agcn1-laptop62']
mac:b8ca.3a97.5fc2----info['172.17.101.26', '2015-02-10', 'Vlan211', 'null']
mac:90b1.1c95.231a----info['172.17.101.188', '2015-02-10', 'Vlan211', 'agcn1-wkeng168']
mac:3417.ebd0.c003----info['172.17.103.204', '2015-02-10', 'Vlan212', 'agcn1-wkeng296']
mac:0025.64bb.8a0b----info['172.17.101.139', '2015-02-10', 'Vlan211', 'agcn1-wkeng74']
mac:000c.29b1.825e----info['172.17.101.48', '2015-02-10', 'Vlan211', 'null']
mac:f8b1.569f.407d----info['172.17.110.110', '2015-02-10', 'Vlan225', 'agcn1-wkeng226']
mac:b8ca.3a90.f679----info['172.17.3.64', '2015-02-10', 'Vlan216', 'agcn1-wkeng196']
mac:28d2.444d.152a----info['172.17.111.60', '2015-02-10', 'Vlan226', 'agcn1-laptop85']
mac:40a8.f0b5.943f----info['172.17.3.15', '2015-02-10', 'Vlan216', 'null']
mac:2037.066e.2141----info['172.17.1.8', '2015-02-10', 'Vlan218', 'null']
mac:90b1.1c95.3641----info['172.17.101.149', '2015-02-10', 'Vlan211', 'agcn1-wkeng170']
mac:b8ca.3aa9.ab96----info['172.17.101.148', '2015-02-10', 'Vlan211', 'agcn1-wkeng216']
mac:b8ca.3a7f.9171----info['172.17.110.102', '2015-02-10', 'Vlan225', 'agcn1-wkeng183']
mac:986c.f565.3f79----info['172.17.10.94', '2015-02-10', 'Vlan220', 'null']
mac:000c.299c.5e64----info['172.17.101.36', '2015-02-10', 'Vlan211', 'null']
mac:0018.0a31.ba4e----info['172.17.6.11', '2015-02-10', 'Vlan203', 'null']
mac:000c.29b2.3b42----info['172.17.3.8', '2015-02-10', 'Vlan216', 'null']
mac:90b1.1c91.47b9----info['172.17.103.173', '2015-02-10', 'Vlan212', 'agcn1-wkeng161']
mac:3417.ebb1.0989----info['172.17.105.184', '2015-02-10', 'Vlan215', 'agcn1-wkeng270']
mac:0025.64bb.8c7c----info['172.17.103.182', '2015-02-10', 'Vlan212', 'agcn1-wkeng78']
